11,3,6
16,2,4
16,5,7
16,7,10
16,28,32
11,3,6
14,5,8
11,9,11
15,12,15
2,12,21
10,15,19
0,19,23
12,20,22
12,22,24
8,13,14
8,14,16
14,13,14
10,22,27
4,26,28
15,26,29
16,25,27
15,30,33
16,29,32
2,29,36
14,32,35
7,31,37
4,40,42
0,37,43
0,43,46
8,48,50
17,51,54
15,50,52
17,49,51
8,53,55
17,54,56
17,57,59
3,58,64
3,65,69
17,64,66
17,67,69
3,69,73
13,72,75
15,74,77
15,77,80
17,75,78
17,79,82
13,77,81
13,81,13
15,82,85
3,82,87
13,94,96
13,96,98
12,98,101
7,101,103
2,99,101
8,109,111
11,114,117
2,116,121
13,122,125
17,123,126
5,125,126
11,121,125
8,128,130
17,127,131
13,126,128
7,128,130
16,131,133
8,139,142
17,144,146
11,144,147
12,149,152
9,155,158
7,160,162
11,167,171
8,170,172
9,172,175
8,172,174
11,174,176
17,173,175
10,180,182
16,181,183
17,180,183
17,185,190
11,190,195
17,194,197
6,197,199
4,198,201
4,205,209
3,219,222
2,219,222
0,219,222
3,229,237
17,236,238
0,237,242
2,253,256
11,256,258
13,269,272
6,269,273
7,274,278
13,275,277
14,281,286
7,281,285
6,282,286
12,280,283
8,287,290
16,285,289
10,296,298
0,306,308
0,308,310
4,307,308
4,308,312
15,308,311
5,307,308
15,311,315
0,311,313
4,318,320
5,327,331
4,331,334
11,331,335
0,335,337
0,340,342
11,340,344
5,357,360
4,390,391
14,393,395
5,398,401
4,405,407
10,405,407
4,409,411
17,414,416
0,422,424
7,427,428
7,430,432
0,430,432
11,434,435
11,436,438
14,442,443
14,457,459
0,470,474
0,476,477
4,487,489
4,489,491
